category,name,price,image_url
М'ясо,Індиче стегно «Делікатесне»,27.10 грн/100г,https://images.silpo.ua/products/300x300/webp/31f8059d-3998-4989-bdaf-b9292b45f997.png
М'ясо,Яловичина молода Ekro T-bone Wet Aged охолоджена в/у,89.90 грн/100г,https://images.silpo.ua/products/300x300/webp/bea81f8a-59fd-4c26-9475-beb63e1b8e0a.png
М'ясо,Свинячий стейк із битка без кістки,25.59 грн/100г,https://images.silpo.ua/products/300x300/webp/ee48088c-3ab4-4efc-b1da-dc76bb53f6d4.png
М'ясо,Біфштекс «М'ясторія» з яловичини шок-фриз,264.00 грн/540г,https://images.silpo.ua/products/300x300/webp/2bcc891e-5cdf-4499-afab-914810dfc332.png
М'ясо,Реберця свинячі Mr.Grill «Апетитні» заморожені,20.90 грн/100г,https://images.silpo.ua/products/300x300/webp/84c9c8ba-fd03-4d5a-990f-2d2a76a6a768.png
М'ясо,"Куряче крило, плечова частина охолоджене",10.90 грн/100г,https://images.silpo.ua/products/300x300/webp/905ae493-43be-4720-8dde-04a003b37f49.png
М'ясо,Свинячий стейк з ошийка в маринаді,29.89 грн/100г,https://images.silpo.ua/products/300x300/webp/f9028802-fa3d-4d61-9f04-0857cb058d9a.png
М'ясо,Шлунки курячі охолоджені,7.10 грн/100г,https://images.silpo.ua/products/300x300/webp/b1e2d697-a73a-4fd7-8fe3-181ad73ab6f1.png
М'ясо,Курка охолоджена,8.45 грн/100г,https://images.silpo.ua/products/300x300/webp/2354c8b8-ddae-4d99-b89a-fdfa764424de.png
М'ясо,Язик свинячий охолоджений,18.90 грн/100г,https://images.silpo.ua/products/300x300/webp/68277638-e799-4761-8dab-da5b21814cb8.png
М'ясо,Куряча грудка домашня з кісткою,19.90 грн/100г,https://images.silpo.ua/products/300x300/webp/e9d1215b-c8b4-4f60-85be-9def563db905.png
М'ясо,Куряче філе домашнє,23.40 грн/100г,https://images.silpo.ua/products/300x300/webp/c67640c0-f05d-490c-ac9f-3349ead80d9b.png
М'ясо,Куряча чверть домашня,12.70 грн/100г,https://images.silpo.ua/products/300x300/webp/f58f9f11-4137-467c-ab18-93ba2950e1a9.png
М'ясо,"Телятина, шніцель",40.12 грн/100г,https://images.silpo.ua/products/300x300/webp/0b86ce1c-bd04-4e1e-9fa7-94b792a1df65.png
М'ясо,Куряча грудка на кістці,12.90 грн/100г,https://images.silpo.ua/products/300x300/webp/190a20ca-fb63-4ba1-8bbc-517e107c0bf6.png
М'ясо,Ковбаски для смаження «Мюнхенські»,21.90 грн/100г,https://images.silpo.ua/products/300x300/webp/e84e079a-ea2e-4869-9c8b-47a4f87e591d.png
М'ясо,Куряче стегно з частиною спинки,10.20 грн/100г,https://images.silpo.ua/products/300x300/webp/174c5110-414c-4fec-b132-6de20e607c20.png
М'ясо,Свинячий стейк із ошийка,27.92 грн/100г,https://images.silpo.ua/products/300x300/webp/222d9499-1817-4ffa-951b-fc563fde9099.png
